id,file_number,party_labeled,decision_category
id_acm_energy_permit_286,2,"Total Gas & Power Nederland B.V., TotalEnergies Power & Gas Nederland B.V.",wijziging of aanpassen (amend/modify)
id_acm_energy_permit_214,1,InEnergie Levering B.V.,verguning verlening (grant)
id_acm_energy_permit_17,1,"Wij Maken Energie B.V., Linthorst Energy B.V.",wijziging of aanpassen (amend/modify)
id_acm_energy_permit_89,1,"Greenspread Warmte B.V., Eteck Warmte 7 B.V.",wijziging of aanpassen (amend/modify)
id_acm_energy_permit_19,1,Youfone Energie B.V.,intrekking of beëindiging (revoke/withdraw)
id_acm_energy_permit_233,1,Youfone Energie B.V.,verguning verlening (grant)
id_acm_energy_permit_40,1,"Energie I&V B.V., Allure Energie B.V.",none
id_acm_energy_permit_254,13,,none
id_acm_energy_permit_126,2,"EnergyNext B.V., NextEnergy B.V.",wijziging of aanpassen (amend/modify)
id_acm_energy_permit_98,1,"EnergieFlex, Flexenergie B.V.",wijziging of aanpassen (amend/modify)
id_acm_energy_permit_75,1,EnergieFlex,intrekking of beëindiging (revoke/withdraw)
id_acm_energy_permit_12,1,"HLO Energie B.V., VanHelder B.V.",wijziging of aanpassen (amend/modify)
id_acm_energy_permit_187,1,"Dong Energy Sales B.V., Eneco Energy Sales B.V.",wijziging of aanpassen (amend/modify)
id_acm_energy_permit_35,2,"Groene Energie Administratie B.V., Greenchoice B.V.",wijziging of aanpassen (amend/modify)
id_acm_energy_permit_208,1,Oxxio Nederland B.V.,wijziging of aanpassen (amend/modify)
id_acm_energy_permit_44,1,Kelvin B.V.,wijziging of aanpassen (amend/modify)
id_acm_energy_permit_277,1,Kleinverbruik Energie der Nederlanden B.V.,wijziging of aanpassen (amend/modify)
id_acm_energy_permit_268,1,"OpenSource Energie, Hang United Energy BV",verguning verlening (grant)
id_acm_energy_permit_277,2,Kleinverbruik Energie der Nederlanden B.V.,wijziging of aanpassen (amend/modify)
id_acm_energy_permit_276,2,FENOR B.V.,intrekking of beëindiging (revoke/withdraw)
id_acm_energy_permit_278,1,"Essent Energie Verkoop Nederland B.V., Eneco Midzakelijk B.V.",wijziging of aanpassen (amend/modify)
id_acm_energy_permit_151,1,Energiek 2 B.V.,verguning verlening (grant)
id_acm_energy_permit_145,1,NV Nuon Warmte,verguning verlening (grant)
id_acm_energy_permit_191,1,"Republiq Community NL B.V., Vandebron Energie B.V.",wijziging of aanpassen (amend/modify)
id_acm_energy_permit_56,1,TenneT TSO B.V.,none
id_acm_energy_permit_15,1,Shell Energy Retail B.V.,intrekking of beëindiging (revoke/withdraw)
id_acm_energy_permit_206,1,Flexenergie B.V.,verguning verlening (grant)
id_acm_energy_permit_220,1,Bergop Beheer B.V.,verguning verlening (grant)
id_acm_energy_permit_254,9,,none
id_acm_energy_permit_36,1,Main Energie B.V.,overdracht (transfer)
id_acm_energy_permit_286,1,"Total Gas & Power Nederland, TotalEnergies Power & Gas Nederland B.V.",wijziging of aanpassen (amend/modify)
id_acm_energy_permit_293,1,Kernion Energie B.V.,verguning verlening (grant)
id_acm_energy_permit_221,1,Coöperatieve Duurzame Energie Unie U.A.,verguning verlening (grant)
id_acm_energy_permit_190,1,De Vrije Energie Producent B.V.,verguning verlening (grant)
id_acm_energy_permit_126,1,"EnergyNext B.V., NextEnergy B.V.",wijziging of aanpassen (amend/modify)
id_acm_energy_permit_18,2,"Energievergunningen E & G Trading Wholesale B.V., Yebbo B.V.",wijziging of aanpassen (amend/modify)
id_acm_energy_permit_48,1,ENSTROGA B.V.,verguning verlening (grant)
id_acm_energy_permit_237,1,"NutsServices B.V., Budget Thuis B.V.",wijziging of aanpassen (amend/modify)
id_acm_energy_permit_209,1,Oxxio Nederland B.V.,wijziging of aanpassen (amend/modify)
id_acm_energy_permit_292,1,Kernion Energie B.V.,verguning verlening (grant)
id_acm_energy_permit_254,15,,none
id_acm_energy_permit_241,1,Hello Yellow B.V.,verguning verlening (grant)
id_acm_energy_permit_100,1,Energie der Nederlanden,intrekking of beëindiging (revoke/withdraw)
id_acm_energy_permit_47,1,ENSTROGA B.V.,verguning verlening (grant)
id_acm_energy_permit_88,1,"Icon Lightyear WKO B.V., Eteck Warmte New Babylon B.V.",wijziging of aanpassen (amend/modify)
id_acm_energy_permit_222,1,Coöperatieve Duurzame Energie Unie U.A.,verguning verlening (grant)
id_acm_energy_permit_108,1,Duurzame Energie Veenendaal-oost (DEVO) B.V.,verguning verlening (grant)
id_acm_energy_permit_165,1,Vrij Op Naam B.V.,verguning verlening (grant)
id_acm_energy_permit_121,2,Audax Renewables Nederland B.V.,wijziging of aanpassen (amend/modify)
id_acm_energy_permit_1,2,HVC Energie B.V.,intrekking of beëindiging (revoke/withdraw)
id_acm_energy_permit_28,1,Eneco Zuid Nederland B.V.,intrekking of beëindiging (revoke/withdraw)
id_acm_energy_permit_195,1,"HLO Energie B.V., Hello Yellow B.V.",wijziging of aanpassen (amend/modify)
id_acm_energy_permit_70,1,Ventum B.V.,verguning verlening (grant)
id_acm_energy_permit_197,1,Total Gas and Power Nederland B.V.,verguning verlening (grant)
id_acm_energy_permit_237,2,"NutsServices B.V., Budget Thuis B.V.",wijziging of aanpassen (amend/modify)
id_acm_energy_permit_160,1,Naked Energy B.V.,verguning verlening (grant)
id_acm_energy_permit_30,1,"Eneco Zakelijk B.V., Oxxio Nederland B.V., CEN B.V., Eneco Consumenten B.V.",overdracht (transfer)
id_acm_energy_permit_103,1,Delta Energy B.V.,intrekking of beëindiging (revoke/withdraw)
id_acm_energy_permit_65,1,"Unica Ecopower B.V., Unica Energy Solutions B.V.",wijziging of aanpassen (amend/modify)
id_acm_energy_permit_254,16,,none
id_acm_energy_permit_37,1,Kikker Energie B.V.,verguning verlening (grant)
id_acm_energy_permit_225,1,FENOR B.V.,verguning verlening (grant)
id_acm_energy_permit_50,1,HalloStroom Energie B.V.,verguning verlening (grant)
id_acm_energy_permit_54,1,Warmtestad B.V.,verguning verlening (grant)
id_acm_energy_permit_90,1,Greenspread Energy B.V.,wijziging of aanpassen (amend/modify)
id_acm_energy_permit_198,1,"Eneco Business B.V., Eneco Zakelijk B.V.",wijziging of aanpassen (amend/modify)
id_acm_energy_permit_143,1,Vaanster V B.V.,verguning verlening (grant)
id_acm_energy_permit_254,21,,none
id_acm_energy_permit_61,1,Robin Energie B.V.,intrekking of beëindiging (revoke/withdraw)
id_acm_energy_permit_252,1,"Intergas Levering B.V., Dong Energy Sales B.V.",wijziging of aanpassen (amend/modify)
id_acm_energy_permit_128,1,"Hang United Energy B.V., OpenSource Energie B.V.",wijziging of aanpassen (amend/modify)
id_acm_energy_permit_254,1,,none
id_acm_energy_permit_223,1,Kas Energie Nederland B.V.,verguning verlening (grant)
id_acm_energy_permit_154,1,"Electrabel UnitedConsumers Energie B.V., ENGIE UnitedConsumers Energie B.V.",wijziging of aanpassen (amend/modify)
id_acm_energy_permit_291,1,Daytona B.V,verguning verlening (grant)
id_acm_energy_permit_281,2,SEPA Green Energy B.V.,intrekking of beëindiging (revoke/withdraw)
id_acm_energy_permit_275,1,SEPA Green Energy B.V.,wijziging of aanpassen (amend/modify)
id_acm_energy_permit_210,1,Bas Nederland B.V.,verguning verlening (grant)
id_acm_energy_permit_78,1,Cogas B.V.,intrekking of beëindiging (revoke/withdraw)
id_acm_energy_permit_299,1,Holthausen Clean Energy B.V.,wijziging of aanpassen (amend/modify)
id_acm_energy_permit_72,1,EnergieFlex,wijziging of aanpassen (amend/modify)
id_acm_energy_permit_86,1,Robin Energie B.V.,none
id_acm_energy_permit_147,1,Westpoort Warmte B.V.,verguning verlening (grant)
id_acm_energy_permit_14,2,Allround Hollands Energie B.V.,wijziging of aanpassen (amend/modify)
id_acm_energy_permit_280,1,Neosmart B.V.,intrekking of beëindiging (revoke/withdraw)
id_acm_energy_permit_113,1,"Greenfoot Energy B.V., Energyhouse B.V.",wijziging of aanpassen (amend/modify)
id_acm_energy_permit_308,1,Allure Grootverbruik B.V.,verguning verlening (grant)
id_acm_energy_permit_64,1,DNWG Warmte B.V.,verguning verlening (grant)
id_acm_energy_permit_185,1,,none
id_acm_energy_permit_243,1,Hezelaer Energy B.V.,verguning verlening (grant)
id_acm_energy_permit_196,1,"Hello Yellow B.V., HLO Energie B.V.",wijziging of aanpassen (amend/modify)
id_acm_energy_permit_36,2,"Main Energie B.V., Audax Netherlands B.V.",overdracht (transfer)
id_acm_energy_permit_294,1,Huismerk Energie N.V.,intrekking of beëindiging (revoke/withdraw)
id_acm_energy_permit_193,1,NLD Energie U.A.,wijziging of aanpassen (amend/modify)
id_acm_energy_permit_8,1,CroonWolter & Dros B.V.,intrekking of beëindiging (revoke/withdraw)
id_acm_energy_permit_260,1,"ENGIE Energy Solutions B.V., EQUANS Energy Solutions B.V.",wijziging of aanpassen (amend/modify)
id_acm_energy_permit_238,1,,none
id_acm_energy_permit_289,1,"InEnergie, InWarmte BV",wijziging of aanpassen (amend/modify)
id_acm_energy_permit_239,1,Mijnwater Energy B.V.,verguning verlening (grant)
id_acm_energy_permit_34,1,Enera Services B.V.,none
id_acm_energy_permit_226,1,FENOR B.V.,verguning verlening (grant)
id_acm_energy_permit_135,1,Breecamp Energie B.V.,verguning verlening (grant)
id_acm_energy_permit_278,2,"Essent Energie Verkoop Nederland B.V., Eneco Midzakelijk B.V.",wijziging of aanpassen (amend/modify)
id_acm_energy_permit_284,1,Enstroga B.V.,intrekking of beëindiging (revoke/withdraw)
id_acm_energy_permit_33,1,Energie I&V B.V.,none
id_acm_energy_permit_192,1,Republiq Community NL BV,wijziging of aanpassen (amend/modify)
id_acm_energy_permit_240,1,Qwint B.V.,verguning verlening (grant)
id_acm_energy_permit_305,1,Powerup Energie B.V.,intrekking of beëindiging (revoke/withdraw)
id_acm_energy_permit_303,1,Frank Energie B.V.,verguning verlening (grant)
id_acm_energy_permit_63,1,Welkom Energie B.V.,verguning verlening (grant)
id_acm_energy_permit_269,2,"De Groene Stroomfabriek N.V., Greenchoice Zakelijk N.V.",wijziging of aanpassen (amend/modify)
id_acm_energy_permit_234,1,"Gazprom Marketing & Trading Retail Limited, SEFE Energy Limited",wijziging of aanpassen (amend/modify)
id_acm_energy_permit_6,2,DGB Energie B.V.,intrekking of beëindiging (revoke/withdraw)
id_acm_energy_permit_194,1,NLD Energie U.A.,wijziging of aanpassen (amend/modify)
id_acm_energy_permit_307,1,Allure Grootverbruik B.V.,verguning verlening (grant)
id_acm_energy_permit_57,1,NG&E Services Netherlands B.V.,verguning verlening (grant)
id_acm_energy_permit_235,1,ELIX B.V.,verguning verlening (grant)
id_acm_energy_permit_294,2,Huismerk Energie N.V.,intrekking of beëindiging (revoke/withdraw)
id_acm_energy_permit_177,1,Eco-Maat Energie B.V.,none
id_acm_energy_permit_95,1,GGP B.V.,verguning verlening (grant)
id_acm_energy_permit_271,1,FENOR B.V.,wijziging of aanpassen (amend/modify)
id_acm_energy_permit_306,1,,wijziging of aanpassen (amend/modify)
id_acm_energy_permit_281,1,SEPA Green Energy B.V.,intrekking of beëindiging (revoke/withdraw)
id_acm_energy_permit_134,1,Warmtebedrijf Ede B.V.,verguning verlening (grant)
id_acm_energy_permit_254,3,,none
id_acm_energy_permit_266,1,"Kernion B.V., NewEnergy B.V.",wijziging of aanpassen (amend/modify)
id_acm_energy_permit_181,1,Allure Energie B.V.,verguning verlening (grant)
id_acm_energy_permit_274,2,Naked Energy B.V.,intrekking of beëindiging (revoke/withdraw)
id_acm_energy_permit_5,1,"EQUANS Energy Solutions B.V., Essent Infrastructure Solutions B.V.",wijziging of aanpassen (amend/modify)
id_acm_energy_permit_296,1,Wellsius Energie B.V.,verguning verlening (grant)
id_acm_energy_permit_271,2,"FENOR B.V., Budget Energie",wijziging of aanpassen (amend/modify)
id_acm_energy_permit_129,2,Eneco Midzakelijk B.V.,intrekking of beëindiging (revoke/withdraw)
id_acm_energy_permit_248,1,Gazprom Marketing & Trading Retail Ltd.,verguning verlening (grant)
id_acm_energy_permit_96,1,GGP B.V.,verguning verlening (grant)
id_acm_energy_permit_125,1,"Daytona B.V., Mega Energie B.V.",wijziging of aanpassen (amend/modify)
id_acm_energy_permit_282,1,Kleinverbruik Energie der Nederlanden B.V.,intrekking of beëindiging (revoke/withdraw)
id_acm_energy_permit_200,1,"Eneco Retail B.V., Eneco Consumenten B.V.",wijziging of aanpassen (amend/modify)
id_acm_energy_permit_146,1,HVC Energie B.V.,verguning verlening (grant)
id_acm_energy_permit_246,1,Groene Energie Administratie B.V.,wijziging of aanpassen (amend/modify)
id_acm_energy_permit_163,1,Green Spread Warmte B.V.,verguning verlening (grant)
id_acm_energy_permit_229,1,Gas Natural Europe S.A.S.,verguning verlening (grant)
id_acm_energy_permit_295,1,Wij Maken Energie B.V.,wijziging of aanpassen (amend/modify)
id_acm_energy_permit_270,1,Naked Energy B.V.,wijziging of aanpassen (amend/modify)
id_acm_energy_permit_101,1,Holthausen Clean Energy B.V.,verguning verlening (grant)
id_acm_energy_permit_182,1,GP Groot energie B.V.,verguning verlening (grant)
id_acm_energy_permit_297,1,Tibber Netherlands B.V.,verguning verlening (grant)
id_acm_energy_permit_157,1,Nieuw Hollands Energie B.V.,verguning verlening (grant)
id_acm_energy_permit_39,1,Nederlandse Energiemaatschappij B.V.,intrekking of beëindiging (revoke/withdraw)
id_acm_energy_permit_148,1,Cofely Energy Solutions B.V.,verguning verlening (grant)
id_acm_energy_permit_81,1,Energievergunning E.ON Benelux Levering B.V.,wijziging of aanpassen (amend/modify)
id_acm_energy_permit_121,1,Energievergunningen MAIN Energie B.V.,wijziging of aanpassen (amend/modify)
id_acm_energy_permit_300,1,Linthorst Energie Services B B.V.,verguning verlening (grant)
id_acm_energy_permit_144,1,Vaanster VII B.V.,verguning verlening (grant)
id_acm_energy_permit_41,1,"NV Nuon Warmte, Vattenfall Warmte N.V.",wijziging of aanpassen (amend/modify)
id_acm_energy_permit_202,1,NLD Energie U.A.,verguning verlening (grant)
id_acm_energy_permit_120,1,DGB Energie B.V.,wijziging of aanpassen (amend/modify)
id_acm_energy_permit_2,1,De Vrije Energie Producent B.V.,intrekking of beëindiging (revoke/withdraw)
id_acm_energy_permit_162,1,Powerpeers B.V.,verguning verlening (grant)
id_acm_energy_permit_164,1,Vrij Op Naam B.V.,verguning verlening (grant)
id_acm_energy_permit_302,2,Qurrent Nederland B.V.,intrekking of beëindiging (revoke/withdraw)
id_acm_energy_permit_13,1,NewEnergy B.V.,intrekking of beëindiging (revoke/withdraw)
id_acm_energy_permit_230,1,Eteck Warmte Holding B.V.,none
id_acm_energy_permit_264,1,E-Bascuul B.V.,none
id_acm_energy_permit_254,17,,none
id_acm_energy_permit_15,2,Shell Energy Retail B.V.,intrekking of beëindiging (revoke/withdraw)
id_acm_energy_permit_43,2,"N.V. Nuon Sales Nederland, Vattenfall Sales Nederland N.V.",wijziging of aanpassen (amend/modify)
id_acm_energy_permit_285,2,Welkom Energie B.V.,intrekking of beëindiging (revoke/withdraw)
id_acm_energy_permit_11,1,"e-Energy Europe B.V., Slim met Energie B.V.",none
id_acm_energy_permit_10,1,"Youfone Energie B.V., DigiWatt Energie B.V.",wijziging of aanpassen (amend/modify)
id_acm_energy_permit_69,1,Kelvin B.V.,wijziging of aanpassen (amend/modify)
id_acm_energy_permit_132,1,Twence B.V.,intrekking of beëindiging (revoke/withdraw)
id_acm_energy_permit_138,1,Cogas B.V.,verguning verlening (grant)
id_acm_energy_permit_12,2,HLO Energie B.V.,wijziging of aanpassen (amend/modify)
id_acm_energy_permit_290,1,Daytona B.V.,verguning verlening (grant)
id_acm_energy_permit_254,10,,none
id_acm_energy_permit_116,1,"KAS Energie Nederland, Kleinverbruik Energie Nederland",wijziging of aanpassen (amend/modify)
id_acm_energy_permit_32,1,Gas Natural Europe S.A.S.,intrekking of beëindiging (revoke/withdraw)
id_acm_energy_permit_3,1,Qwint B.V.,intrekking of beëindiging (revoke/withdraw)
id_acm_energy_permit_265,1,"Kernion B.V., NewEnergy B.V.",wijziging of aanpassen (amend/modify)
id_acm_energy_permit_127,1,Enstroga B.V.,none
id_acm_energy_permit_301,1,All In Power B.V.,verguning verlening (grant)
id_acm_energy_permit_254,19,,none
